"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.639505500E-2,-5.698355846E-3,-9.768903255E-3,7.855987549E-2,7.936974718E-2
7.138760800E-2,-2.654929832E-2,-8.205294609E-3,3.551769257E-2,4.509654738E-2
7.635239900E-2,-2.198894508E-3,7.360398769E-3,2.017879486E-2,2.159153466E-2
8.137542000E-2,6.398108788E-3,1.280307770E-4,2.603816986E-2,2.681302813E-2
8.636766000E-2,1.632299274E-2,1.508653164E-2,3.166675568E-2,3.868884780E-2
9.132974300E-2,-1.119775232E-2,-7.913887501E-3,5.868721008E-2,6.026780152E-2
9.635187800E-2,2.913237549E-3,-2.251088619E-2,4.899120331E-2,5.399411960E-2
1.013113050E-1,4.939896986E-3,-8.971691132E-4,1.636028290E-2,1.711333840E-2
1.063283370E-1,1.339029707E-2,2.135455608E-2,5.269718170E-2,5.841498164E-2
1.113252640E-1,-3.109789453E-3,1.989966631E-2,2.669334412E-2,3.343952945E-2
1.162963580E-1,-2.299440652E-2,2.800881863E-3,3.384876251E-2,4.101617235E-2
1.213105760E-1,-1.713234186E-2,-2.884101868E-2,4.071521759E-2,5.275462482E-2
1.263012010E-1,-1.618796773E-2,1.355820894E-2,3.381919861E-2,3.986995766E-2
1.312662530E-1,-4.039879888E-3,1.282775402E-2,2.062988281E-2,2.462648914E-2
1.362879720E-1,7.455585524E-3,-1.490056515E-3,8.194923401E-3,1.117867584E-2
1.412853680E-1,-1.109522022E-2,-3.717482090E-3,2.598953247E-2,2.850226979E-2
1.462717740E-1,-6.068179850E-3,-1.041084528E-2,-2.626419067E-3,1.233314977E-2
1.512613050E-1,5.579608493E-3,1.469254494E-3,1.121044159E-2,1.260812200E-2
1.562546390E-1,-6.138013210E-3,-9.122490883E-4,1.759529114E-2,1.865748308E-2
1.612468780E-1,-1.962839253E-2,-1.926606894E-2,3.293037415E-2,4.290529975E-2
1.662153160E-1,-1.656508818E-2,1.827311516E-2,6.314277649E-3,2.545935950E-2
1.712316180E-1,1.631049626E-2,2.450388670E-2,2.680397034E-2,3.981112379E-2
1.762231280E-1,-1.891042292E-2,5.518794060E-4,7.358551025E-3,2.029918568E-2
1.812143260E-1,-2.749328129E-2,1.908499002E-2,-1.137924194E-2,3.534974551E-2
1.862092220E-1,-5.700939801E-3,-1.855611801E-2,1.445770264E-2,2.420444992E-2
1.911750030E-1,8.314845152E-3,-1.564836502E-2,-3.234004974E-2,3.687664295E-2
1.961713580E-1,1.073421910E-3,-1.210749149E-3,-2.202129364E-2,2.208065945E-2
2.011637530E-1,-3.566532861E-3,-3.827971220E-2,2.044010162E-2,4.354140876E-2
2.061628680E-1,1.753292605E-2,4.665970802E-3,1.285076141E-2,2.223323747E-2
2.111727640E-1,-8.570247330E-3,-4.798173904E-3,1.944541931E-2,2.178522307E-2
2.161437010E-1,-3.733243793E-3,-3.726649284E-2,-4.382133484E-3,3.770850954E-2
2.211581280E-1,1.013026107E-3,-1.053857803E-2,1.437568665E-2,1.785352109E-2
2.261503680E-1,-1.068673562E-2,1.996898651E-2,-2.332687378E-3,2.276857859E-2
2.311417740E-1,-5.658458453E-3,5.371570587E-3,9.385108948E-3,1.220459719E-2
2.361344830E-1,1.323814131E-2,5.156517029E-3,-3.987693787E-2,4.233211815E-2
2.411272950E-1,1.526797842E-2,-1.835548878E-2,-2.019691467E-2,3.127220005E-2
2.461246910E-1,1.955106482E-2,-2.489537001E-2,-5.680084229E-3,3.216033178E-2
2.510882850E-1,9.716458619E-3,-5.571365356E-3,6.149291992E-3,1.277745953E-2
2.561064100E-1,2.131971717E-2,8.620679379E-3,8.348464966E-3,2.446514501E-2
2.610973470E-1,1.165113319E-2,2.488625050E-2,3.157424927E-2,4.185698968E-2
2.660665140E-1,2.155607566E-3,8.061707020E-3,-3.001880646E-2,3.115712607E-2
2.710827120E-1,1.385792904E-2,-1.463472843E-3,-2.936458588E-2,3.250327451E-2
2.760717740E-1,-2.867340110E-3,-6.148278713E-3,-3.811931610E-2,3.871828031E-2
2.810695350E-1,-5.121227819E-3,1.091063023E-3,-4.482269287E-3,6.892614225E-3
2.860597430E-1,9.098225273E-3,1.512157917E-2,-1.143264771E-2,2.102725121E-2
2.910550030E-1,1.804028638E-3,-1.567578316E-2,-1.120185852E-2,1.935113256E-2
2.960485450E-1,1.756585203E-3,-4.827469587E-2,-5.560588837E-2,7.365831029E-2
3.010369300E-1,-5.913292989E-4,-1.918005943E-2,-3.339290619E-2,3.851377071E-2
3.060305760E-1,-2.851058729E-3,-7.144451141E-3,-3.746891022E-2,3.825037190E-2
3.110205240E-1,1.128983591E-2,-7.039129734E-3,-1.326560974E-2,1.878792549E-2
3.160302640E-1,-1.956384629E-2,-1.394319534E-2,-1.262664795E-3,2.405724632E-2
3.210063050E-1,-1.447378006E-2,-1.842653751E-2,1.287460327E-2,2.673542600E-2
3.260009410E-1,6.945993751E-3,-6.362915039E-3,4.088878632E-2,4.195981844E-2
3.309593780E-1,-3.080909885E-2,5.541443825E-3,-3.750324249E-2,4.885080725E-2
3.359534930E-1,-2.319349721E-2,1.018106937E-2,-1.096153259E-2,2.759977687E-2
3.409440660E-1,-2.277487889E-2,5.620121956E-4,-4.847049713E-2,5.355744634E-2
3.459703680E-1,-3.468185198E-3,-3.476667404E-2,1.806259155E-3,3.498589008E-2
3.509619830E-1,-1.044739224E-2,-5.797982216E-3,6.499290466E-3,1.360166824E-2
3.559534410E-1,-1.506617293E-2,1.087111235E-2,-5.387306213E-3,1.934408743E-2
3.609420350E-1,-3.371746466E-2,1.072502136E-2,3.007030487E-2,4.643400415E-2
3.659401600E-1,-7.170503028E-3,2.463376522E-2,-1.060485840E-3,2.567806716E-2
3.709307330E-1,-2.257075161E-3,3.372114897E-2,-1.991653442E-2,3.922854343E-2
3.759197430E-1,-2.357499488E-2,2.514064312E-3,2.049446106E-2,3.133885507E-2
3.809115660E-1,1.913589425E-2,-2.572047710E-2,2.964210510E-2,4.366210927E-2
3.859075550E-1,-1.185380947E-2,6.447434425E-4,3.246307373E-3,1.230719320E-2
3.908989620E-1,-1.400688104E-2,-1.361024380E-2,3.194808960E-3,1.978985238E-2
3.958673470E-1,7.420812268E-3,7.756352425E-4,-8.657455444E-3,1.142898069E-2
4.008600030E-1,2.122265287E-4,-3.935754299E-3,-3.810882568E-3,5.482520219E-3
4.059033370E-1,2.899393439E-4,-1.808542013E-2,-2.029895782E-2,2.718849343E-2
4.108677640E-1,-1.622388326E-2,-2.737122774E-2,-2.711868286E-2,4.180695464E-2
4.158643260E-1,-2.069573104E-2,-1.048856974E-2,1.342201233E-2,2.680436146E-2
4.208547430E-1,-8.567971177E-3,8.636176586E-3,1.088619232E-2,1.632491530E-2
4.258484410E-1,2.467358671E-2,2.509856224E-2,2.729701996E-2,4.454044237E-2
4.308360970E-1,3.380094841E-2,-5.992591381E-3,4.349899292E-2,5.541279320E-2
4.358314620E-1,1.921425015E-2,5.984127522E-3,9.840965271E-3,2.240182556E-2
4.408229200E-1,2.402812243E-5,-2.949911356E-2,2.613067627E-4,2.950028067E-2
4.458190660E-1,1.425490901E-2,-3.384286165E-2,4.284572601E-2,5.642958403E-2
4.508033370E-1,-4.868052900E-3,-4.908859730E-3,6.836891174E-3,9.723061442E-3
4.558006280E-1,-2.134022303E-2,-2.459108829E-3,2.023696899E-3,2.157655404E-2
4.607922950E-1,-2.165797632E-3,-3.086078167E-2,3.750228882E-2,4.861584301E-2
4.657544830E-1,4.946244881E-3,-1.395350695E-2,2.285480499E-2,2.723064094E-2
4.707822430E-1,-3.064154461E-2,-2.334076166E-2,3.205490112E-2,5.011199554E-2
4.757699510E-1,-2.320430055E-2,-1.589357853E-2,5.642890930E-3,2.868601786E-2
4.807615140E-1,3.161656484E-2,3.308296204E-3,-6.258010864E-3,3.239930086E-2
4.857546390E-1,4.542367533E-4,1.045197248E-2,-1.092052460E-2,1.512309219E-2
4.907467740E-1,-1.372845192E-2,1.272869110E-2,1.762962341E-2,2.571562931E-2
4.957408370E-1,2.441268414E-2,1.498186588E-2,7.960319519E-3,2.972880992E-2
5.007287010E-1,2.881627157E-2,6.262063980E-4,3.157043457E-2,4.274882432E-2
5.057249510E-1,-3.554672375E-2,-4.201197624E-2,5.019092560E-2,7.448291569E-2
5.107216700E-1,-3.519086540E-2,-6.042122841E-3,6.994247437E-3,3.638438886E-2
5.157141700E-1,1.019607577E-2,3.475368023E-3,2.179145813E-3,1.099030575E-2
5.207048470E-1,2.187593281E-2,1.309889555E-2,-4.287338257E-2,4.988250629E-2
5.256952120E-1,1.699565351E-2,2.241986990E-2,-4.480457306E-2,5.290512803E-2
5.306580760E-1,-6.856222637E-3,-3.242117167E-2,3.152179718E-2,4.573580499E-2
5.356768780E-1,-5.907757953E-2,-4.640036821E-2,9.996604919E-2,1.250454540E-1
5.406726080E-1,-5.608292297E-2,1.085090637E-2,8.235740662E-2,1.002286328E-1
5.456631280E-1,-3.878705576E-2,1.071625948E-2,-1.570224762E-2,4.319530637E-2
5.506593260E-1,-1.223101560E-2,1.068639755E-2,-1.365175247E-1,1.374802946E-1
5.556489620E-1,4.576933570E-3,1.117587090E-3,-1.423063278E-1,1.423842978E-1
5.606448470E-1,-2.395219170E-2,1.062071323E-2,-6.501674652E-2,7.009767731E-2
5.656373470E-1,-5.700841174E-2,1.044112444E-2,7.558631897E-2,9.524845250E-2
