"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.761824900E-2,1.700000092E-2,-4.199999943E-2,1.230000034E-1,1.310801313E-1
1.026330180E-1,2.199999988E-2,-2.500000037E-2,0.000000000E0,3.330165181E-2
1.076477870E-1,7.500000298E-2,8.000000380E-3,-1.080000028E-1,1.317307901E-1
1.126625640E-1,5.299999937E-2,2.600000054E-2,-1.220000014E-1,1.355322851E-1
1.176773330E-1,5.400000140E-2,3.999999911E-2,-5.400000140E-2,8.620904959E-2
1.226920760E-1,2.800000086E-2,9.999999776E-3,2.700000070E-2,4.016217227E-2
1.277069200E-1,8.999999613E-3,-8.000000380E-3,9.499999881E-2,9.576011577E-2
1.327216840E-1,7.500000298E-2,8.000000380E-3,9.499999881E-2,1.213012788E-1
1.377363770E-1,6.700000167E-2,0.000000000E0,2.700000070E-2,7.223572704E-2
1.427511120E-1,5.400000140E-2,0.000000000E0,-1.080000028E-1,1.207476739E-1
1.477658810E-1,6.700000167E-2,1.300000027E-2,-1.490000039E-1,1.638871606E-1
1.527806440E-1,8.100000024E-2,1.300000027E-2,-1.080000028E-1,1.356244840E-1
1.577954900E-1,8.100000024E-2,2.700000070E-2,1.300000027E-2,8.636550286E-2
1.628102400E-1,6.700000167E-2,2.700000070E-2,9.499999881E-2,1.193440406E-1
1.678250090E-1,6.700000167E-2,1.300000027E-2,9.499999881E-2,1.169743562E-1
1.728396560E-1,8.100000024E-2,1.300000027E-2,1.300000027E-2,8.306021943E-2
1.778544240E-1,9.399999678E-2,1.300000027E-2,-1.360000074E-1,1.658342589E-1
1.828691930E-1,8.100000024E-2,0.000000000E0,-1.899999976E-1,2.065453924E-1
1.878839350E-1,6.700000167E-2,2.700000070E-2,-1.360000074E-1,1.539935137E-1
1.928987040E-1,7.999999821E-2,4.100000113E-2,0.000000000E0,8.989438140E-2
1.979134740E-1,6.700000167E-2,1.400000043E-2,8.100000024E-2,1.060471606E-1
2.029282310E-1,6.700000167E-2,0.000000000E0,8.100000024E-2,1.051189815E-1
2.079430000E-1,6.700000167E-2,0.000000000E0,2.700000070E-2,7.223572704E-2
2.129577690E-1,7.999999821E-2,0.000000000E0,-8.100000024E-2,1.138463866E-1
2.179725330E-1,9.399999678E-2,0.000000000E0,-1.630000025E-1,1.881621647E-1
2.229873790E-1,7.999999821E-2,1.400000043E-2,-1.360000074E-1,1.584045509E-1
2.280021500E-1,6.599999964E-2,1.400000043E-2,-1.300000027E-2,6.870953334E-2
2.330169170E-1,7.999999821E-2,2.700000070E-2,1.080000028E-1,1.370875646E-1
2.380316870E-1,6.599999964E-2,4.100000113E-2,1.080000028E-1,1.330451076E-1
2.430464560E-1,5.299999937E-2,2.700000070E-2,1.300000027E-2,6.088513758E-2
2.480612380E-1,7.999999821E-2,1.400000043E-2,-5.400000140E-2,9.752948209E-2
2.530760070E-1,6.599999964E-2,2.700000070E-2,-1.490000039E-1,1.651847486E-1
2.580907760E-1,5.299999937E-2,2.700000070E-2,-1.220000014E-1,1.357276696E-1
2.631055350E-1,6.599999964E-2,4.100000113E-2,-1.300000027E-2,7.877816990E-2
2.681202280E-1,6.599999964E-2,4.100000113E-2,9.499999881E-2,1.227273393E-1
2.731349470E-1,5.200000107E-2,4.100000113E-2,1.490000039E-1,1.630521431E-1
2.781497170E-1,5.200000107E-2,2.700000070E-2,8.100000024E-2,9.996999644E-2
2.831645580E-1,5.200000107E-2,2.800000086E-2,-1.300000027E-2,6.047313591E-2
2.881793290E-1,6.599999964E-2,4.100000113E-2,-1.080000028E-1,1.330451076E-1
2.931940980E-1,6.599999964E-2,4.100000113E-2,-1.220000014E-1,1.446409360E-1
2.982087760E-1,5.200000107E-2,5.499999970E-2,-3.999999911E-2,8.560957895E-2
3.032235430E-1,7.900000364E-2,6.800000370E-2,9.499999881E-2,1.410319143E-1
3.082383120E-1,6.599999964E-2,5.499999970E-2,1.220000014E-1,1.492146114E-1
3.132531310E-1,7.900000364E-2,6.800000370E-2,8.100000024E-2,1.320075798E-1
3.182679020E-1,7.900000364E-2,5.499999970E-2,-2.700000070E-2,9.997499977E-2
3.232826430E-1,9.300000221E-2,4.100000113E-2,-1.080000028E-1,1.483037461E-1
3.282974120E-1,9.300000221E-2,4.100000113E-2,-1.490000039E-1,1.803635265E-1
3.333121810E-1,1.059999987E-1,5.499999970E-2,-8.100000024E-2,1.442983012E-1
3.383269500E-1,9.300000221E-2,5.499999970E-2,1.300000027E-2,1.088255502E-1
3.433417330E-1,9.300000221E-2,4.100000113E-2,9.499999881E-2,1.391222494E-1
3.483565020E-1,1.059999987E-1,1.400000043E-2,5.400000140E-2,1.197831370E-1
3.533712710E-1,1.059999987E-1,0.000000000E0,-5.400000140E-2,1.189621784E-1
3.583860260E-1,9.200000018E-2,0.000000000E0,-1.220000014E-1,1.528005248E-1
3.634007950E-1,9.200000018E-2,0.000000000E0,-1.490000039E-1,1.751142519E-1
3.684155680E-1,9.200000018E-2,2.700000070E-2,-5.400000140E-2,1.100409025E-1
3.734303370E-1,7.900000364E-2,4.100000113E-2,6.800000370E-2,1.120089334E-1
3.784451160E-1,9.200000018E-2,2.700000070E-2,1.080000028E-1,1.444195301E-1
3.834598860E-1,7.900000364E-2,0.000000000E0,2.700000070E-2,8.348652953E-2
3.884746560E-1,7.900000364E-2,0.000000000E0,-3.999999911E-2,8.854942407E-2
3.934894310E-1,9.200000018E-2,0.000000000E0,-9.499999881E-2,1.322459822E-1
3.985042000E-1,9.200000018E-2,0.000000000E0,-8.100000024E-2,1.225765070E-1
4.035189590E-1,7.800000161E-2,1.300000027E-2,-3.999999911E-2,8.861715515E-2
4.085337280E-1,6.499999762E-2,0.000000000E0,1.300000027E-2,6.628725139E-2
4.135484970E-1,7.800000161E-2,0.000000000E0,6.800000370E-2,1.034794702E-1
4.185632660E-1,7.800000161E-2,-1.300000027E-2,8.100000024E-2,1.131989412E-1
4.235780350E-1,6.499999762E-2,-4.100000113E-2,0.000000000E0,7.685050282E-2
4.285927750E-1,6.499999762E-2,-5.400000140E-2,-3.999999911E-2,9.349331404E-2
4.336075440E-1,6.499999762E-2,-4.100000113E-2,-3.999999911E-2,8.663717280E-2
4.386223080E-1,6.499999762E-2,-2.700000070E-2,-3.999999911E-2,8.095677647E-2
4.436370780E-1,6.499999762E-2,-1.400000043E-2,2.700000070E-2,7.176349866E-2
4.486518290E-1,5.099999905E-2,0.000000000E0,9.499999881E-2,1.078239291E-1
4.536665990E-1,9.200000018E-2,-1.400000043E-2,1.490000039E-1,1.756729951E-1
4.586813680E-1,5.099999905E-2,-2.700000070E-2,8.100000024E-2,9.945350662E-2
4.636961660E-1,6.400000304E-2,-1.400000043E-2,-3.999999911E-2,7.675936640E-2
4.687109350E-1,6.499999762E-2,0.000000000E0,-5.400000140E-2,8.450443681E-2
4.737256800E-1,7.800000161E-2,1.200000010E-2,-3.999999911E-2,8.847598647E-2
4.787404490E-1,7.800000161E-2,2.600000054E-2,2.700000070E-2,8.653901038E-2
4.837552030E-1,6.499999762E-2,1.200000010E-2,1.220000014E-1,1.387551802E-1
4.887699720E-1,6.499999762E-2,0.000000000E0,1.630000025E-1,1.754821943E-1
4.937850060E-1,6.499999762E-2,0.000000000E0,8.100000024E-2,1.038556678E-1
4.987997770E-1,6.499999762E-2,0.000000000E0,-2.700000070E-2,7.038465549E-2
5.038145460E-1,6.499999762E-2,1.200000010E-2,-1.220000014E-1,1.387551802E-1
5.088293340E-1,7.800000161E-2,3.999999911E-2,-9.499999881E-2,1.292632970E-1
5.138438730E-1,7.800000161E-2,5.299999937E-2,-1.300000027E-2,9.519453867E-2
5.188586060E-1,7.800000161E-2,5.299999937E-2,8.100000024E-2,1.243141192E-1
